Environment		S20 FE, Android 12, One UI 4.1	
Test date		16.08.2022	
Tester		@Vverynika	
№	Checking	Result	Attachment
Установка приложения			
1	Установить	Passed	
2	Деинсталлировать	Passed	
3	Переустановить	Passed	
4	Можно ли найти приложение в магазине приложений? (Проверить после запуска)	Passed	
5	Обновлять, когда пользователь входит в приложение	Passed	
6	Обновление внутри приложения (функция приложения)	Passed	
Режимы просмотра			
7	Ландшафтный режим	Passed	
8	Портретный режим	Passed	
9	Проверить отображение после увеличения, уменьшения	Passed	
10	Доступность и читабельность	Passed	
Режимы устройства			
11	Устройство переходит в спящий режим	Passed	
12	Устройство выходит из спящего режима	Passed	
13	Устройство возобновляет работу с экрана блокировки	Passed	
14	Если звук на устройстве выключен	Passed	
15	Усли устройство находится в авиарежиме	Passed	
Зарядка устройства			
16	Зарядное устройство подключено	Passed	
17	Зарядное устройство отключено	Passed	
18	USB-соединение для зарядки или переноса данных	Passed	
Уведомления/звонки			
19	Входящий звонок	Passed	
20	Входящие смс	Passed	
21	Локальное сообщение поступает из другого приложения (напоминания календаря, задачи и т. д.).	Passed	
22	push-сообщение приходит из другого приложения (упоминания в телеграмм, сообщения в Viber и т. д.).	Passed	
Аппаратные кнопки (Назад, Домой и т.д.)			
23	Убедиться, что кнопки, для которых не определена функция, не имеют неожиданного поведения в приложении при активации.	Passed	
24	Если на устройстве есть кнопка «Назад», возвращает ли она пользователя на предыдущий экран?	Passed	
25	Если на устройстве есть кнопка «Меню», показывает ли она меню приложения?	Passed	
26	Если на устройстве есть кнопка «Домой», возвращает ли она пользователя на главный экран устройства?	Passed	
27	Если на устройстве есть кнопка «Поиск», приводит ли она пользователя к какой-либо форме поиска в приложении?	Passed	
Многозадачный режим			
28	Проверить стабильность приложения при выходе из режима многозадачности	Passed	
29	Вызвать режим многозадачности из своего приложения и выберать другое приложение	Passed	
30	Проверить открытие приложения на вкладке многозадачности	Passed	
31	Подтвердить открытие приложения с рабочего стола	Passed	
32	"Убить" приложение из режима многозадачности	Passed	
Батарея			
33	Проверить приложение на устройстве с небольшим зарядом батареи	Passed	
34	Убедиться, что настройки приложения в порядке после разрядки батареи	Passed	
Жесты, взаимодействия, функции, работающие в зависимости от ОС			
35	Если устройство наклонено	Passed	
36	Если устройство трясется	Passed	
37	Правильно ли приложение взаимодействует с датчиком GPS (включается/выключается, получает данные GPS)?	Passed	
Типы подключения			
38	4G	Passed	
39	3G	Passed	
40	Wi-Fi	Passed	
41	Режим полета	Passed	
42	Bluetooth на другое устройство	Passed	
43	Вне досягаемости сети	Passed	
44	Вернуться в сеть	Passed	
45	Обновление при восстановлении соединения	Passed	
Пользовательский интерфейс			
46	Проверить, что элементы управления ненавязчивы, например, путем их постепенного исчезновения, если они не используются какое-то время.	Passed	
47	Проверить, предоставлена ли пользователям возможность вернуться к предыдущему экрану, например, кнопка «Назад» или «Отмена».	Passed	
48	Основная функция приложения должна быть очевидна сразу. Это должно говорить само за себя.	Passed	
49	Используется не более одного действия на экране, которое выделено как наиболее вероятное для пользователя. 	Passed	
50	Минимизированы ли действия пользователя, используя средство выбора или табличное представление, где пользователи могут выбрать определенный вариант, а не поле ввода данных, где пользователи должны ввести вариант выбора.	Passed	
51	Если есть длинный список данных для прокрутки, предоставлена ли опция поиска над списком.	Passed	
52	Если производительность низкая, присутствует ли значок состояния процесса («Загрузка…»), желательно с конкретным сообщением.	Passed	
53	Проверить работоспособность приложения в случае «живой» фильтрации данных, пока пользователь вводит свой поисковый запрос	Passed	
54	В приложении не меняется внешний вид кнопок, выполняющих стандартные действия (например: обновить, упорядочить, удалить, ответить, вернуться и т. д.).	Passed	
55	Приложение должно реагировать на все изменения ориентации устройства в соответствии с дизайном.	Passed	
56	Пользователи должны быть предупреждены о последствиях удаления документа	Passed	
57	Клавиатура подстраивается под ожидаемый ввод (например, цифры/буквы, когда ожидается).	Passed	
